Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Score
Gradient Boosting,0.744,0.7650239646061202,0.9057180270624181,0.8294470353097934,0.7764381472418107,0.7373999999999999
XGBoost,0.7341,0.7675215845606908,0.879528590135312,0.8197165909553191,0.7600577911527573,0.723725
Naive Bayes,0.7294,0.7435987372851631,0.9253601047577477,0.8245818747569038,0.7529081111644491,0.72305
Logistic Regression,0.7237,0.7467579250720461,0.9048450458315146,0.8182356423919478,0.7411343572646607,0.7179
Random Forest,0.7025,0.7633783783783784,0.8219118288956787,0.7915644923982345,0.722238910702563,0.7009749999999999
K-Nearest Neighbors,0.6945,0.7518469656992084,0.8291866724865415,0.7886251989206392,0.6841345967505574,0.690475
Decision Tree,0.6513,0.7493372606774669,0.7402880838061981,0.744785186269487,0.5979982152321685,0.6517250000000001
